Experiment id,Run id,Fitness,Civilians Evacuated,Civilians Killed,Civilians Trapped,Attackers Alive,Police Alive,Mean Time,Median Time,Mean Steps,Median Steps,Avg.Dist.Exit,Avg.Dist.Attaker,Avg.Dist.Police
1,0,0.009409759615384615,10,0,0,0,0,25.346153846153843,28.076923076923073,65.8,72.5,0.0,0.0,0.0
1,1,0.39989121203434325,6,0,4,0,0,41.730769230769226,28.269230769230766,108.5,73.5,32.78752569808187,0.0,0.0
1,2,0.22761312750026458,8,0,2,0,0,52.692307692307686,47.5,135.875,123.5,41.4266597081264,0.0,0.0
1,3,0.20779357816342817,8,0,2,0,0,27.25961538461538,25.19230769230769,70.875,65.5,25.038404810405297,0.0,0.0
1,4,0.4849223588642101,5,0,5,0,0,28.38461538461538,20.769230769230766,73.8,54.0,31.329646086278537,0.0,0.0
1,5,0.41484408185515637,6,0,4,0,0,43.84615384615384,41.34615384615384,103.5,76.0,55.16069025068344,0.0,0.0
1,6,0.32053685520586783,7,0,3,0,0,54.450549450549445,21.92307692307692,120.14285714285714,57.0,43.57733606496826,0.0,0.0
1,7,0.13320038325079464,9,0,1,0,0,38.84615384615384,34.61538461538461,100.88888888888889,90.0,44.01136216933077,0.0,0.0
1,8,0.21840936131667918,8,0,2,0,0,26.923076923076923,25.769230769230766,69.5,65.5,42.0,0.0,0.0
1,9,0.39142085156949125,6,0,4,0,0,25.769230769230763,21.538461538461537,67.0,56.0,28.76906793994322,0.0,0.0
1,10,0.491633239398173,5,0,5,0,0,41.46153846153846,28.46153846153846,107.2,74.0,34.26072959110395,0.0,0.0
1,11,0.2306558274486508,8,0,2,0,0,62.78846153846154,68.84615384615384,163.0,179.0,40.31254874088325,0.0,0.0
1,12,0.23691181318418833,8,0,2,0,0,60.52884615384614,70.38461538461537,157.0,183.0,51.51666203960727,0.0,0.0
1,13,0.2968179664907973,7,0,3,0,0,16.318681318681318,15.384615384615383,42.285714285714285,40.0,28.47648008600088,0.0,0.0
1,14,0.3935717099214019,6,0,4,0,0,33.78205128205128,31.346153846153847,83.83333333333333,69.5,27.46797492851818,0.0,0.0
1,15,0.30822049234885096,7,0,3,0,0,30.329670329670325,22.307692307692307,78.85714285714286,58.0,38.26892501447671,0.0,0.0
1,16,0.2975747975444428,7,0,3,0,0,23.901098901098898,7.692307692307692,62.142857142857146,20.0,25.22629270695822,0.0,0.0
1,17,0.22912220069444453,8,0,2,0,0,41.25,30.96153846153846,107.25,80.5,50.51807846664721,0.0,0.0
1,18,0.30403474929204466,7,0,3,0,0,27.47252747252747,26.153846153846153,71.42857142857143,68.0,33.333924578349254,0.0,0.0
1,19,0.30900540163839474,7,0,3,0,0,24.61538461538461,14.23076923076923,64.0,37.0,42.858571914406035,0.0,0.0
1,BEST,0.009409759615384615,10,0,0,0,0,25.346153846153843,28.076923076923073,65.8,72.5,0.0,0.0,0.0
2,0,7.011066105769231,4,7,0,9,0,29.807692307692307,22.69230769230769,77.5,59.0,0.0,0.0,0.0
2,1,8.13969572305378,1,8,1,6,1,23.076923076923073,23.076923076923073,0.0,0.0,63.51377803280167,22.02271554554524,14.7648230602334
2,2,1.1125738295388383,8,1,1,10,0,19.42307692307692,16.73076923076923,45.25,39.0,22.825424421026653,20.615528128088304,0.0
