Experiment id,Run id,Fitness,Civilians Evacuated,Civilians Killed,Civilians Trapped,Attackers Alive,Police Alive,Mean Time,Median Time,Mean Steps,Median Steps,Avg.Dist.Exit,Avg.Dist.Attaker,Avg.Dist.Police
1,27,0.016530327980836874,75,0,0,0,0,16.750769230769233,16.615384615384617,46.96,50.0,0.0,0.0,0.0
---------------------------------------------------------------------------
2,27,5.2135886223327095,23,0,52,0,0,22.581939799331106,12.307692307692308,72.26086956521739,39.0,53.828803056568404,0.0,0.0
---------------------------------------------------------------------------
3,27,0.04489898823193375,75,0,0,0,0,19.663589743589743,16.30769230769231,53.52,46.0,0.0,0.0,0.0
---------------------------------------------------------------------------
