Experiment id,Run id,Fitness,Civilians Evacuated,Civilians Killed,Civilians Trapped,Attackers Alive,Police Alive,Mean Time,Median Time,Mean Steps,Median Steps,Avg.Dist.Exit,Avg.Dist.Attaker,Avg.Dist.Police
1,0,0.6024691014729538,4,0,6,0,0,36.769230769230774,18.153846153846153,116.0,52.0,38.42202180673855,0.0,0.0
1,BEST,0.6024691014729538,4,0,6,0,0,36.769230769230774,18.153846153846153,116.0,52.0,38.42202180673855,0.0,0.0
2,0,1.6743589743589742E-4,10,0,0,0,0,20.092307692307692,22.30769230769231,57.3,48.5,0.0,0.0,0.0
2,BEST,1.6743589743589742E-4,10,0,0,0,0,20.092307692307692,22.30769230769231,57.3,48.5,0.0,0.0,0.0
1,1,0.40297065232461443,6,0,4,0,0,32.358974358974365,20.0,105.16666666666667,65.0,47.985425496185215,0.0,0.0
1,BEST,0.40297065232461443,6,0,4,0,0,32.358974358974365,20.0,105.16666666666667,65.0,47.985425496185215,0.0,0.0
2,1,2.1615384615384622E-4,10,0,0,0,0,25.938461538461542,19.07692307692308,78.2,56.0,0.0,0.0,0.0
2,BEST,2.1615384615384622E-4,10,0,0,0,0,25.938461538461542,19.07692307692308,78.2,56.0,0.0,0.0,0.0
1,2,0.20232065521374837,8,0,2,0,0,50.23076923076923,35.69230769230769,161.875,115.0,33.79178701667672,0.0,0.0
1,BEST,0.20232065521374837,8,0,2,0,0,50.23076923076923,35.69230769230769,161.875,115.0,33.79178701667672,0.0,0.0
2,2,2.3333333333333336E-4,10,0,0,0,0,28.0,23.846153846153847,75.8,54.0,0.0,0.0,0.0
2,BEST,2.3333333333333336E-4,10,0,0,0,0,28.0,23.846153846153847,75.8,54.0,0.0,0.0,0.0
