Experiment id,Run id,Fitness,Civilians Evacuated,Civilians Killed,Civilians Trapped,Attackers Alive,Police Alive,Mean Time,Median Time,Mean Steps,Median Steps,Avg.Dist.Exit,Avg.Dist.Attaker,Avg.Dist.Police
1,0,4.000076495726495,6,4,0,10,0,9.17948717948718,8.461538461538462,29.833333333333332,27.5,0.0,0.0,0.0
1,BEST,4.000076495726495,6,4,0,10,0,9.17948717948718,8.461538461538462,29.833333333333332,27.5,0.0,0.0,0.0
1,1,5.000113333333333,5,5,0,10,0,13.6,14.76923076923077,37.8,39.0,0.0,0.0,0.0
1,BEST,5.000113333333333,5,5,0,10,0,13.6,14.76923076923077,37.8,39.0,0.0,0.0,0.0
1,2,4.000175213675214,6,4,0,10,0,21.025641025641026,17.692307692307693,53.666666666666664,57.5,0.0,0.0,0.0
1,BEST,4.000175213675214,6,4,0,10,0,21.025641025641026,17.692307692307693,53.666666666666664,57.5,0.0,0.0,0.0
